Screws,Total,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,step 13,step 14,step 15,step 16,step 17,step 18,step 19,step 20,step 21,step 22,step 23,step 24,step 25,step 26,step 30,step 31,step 32
M4x8mm,29,0,0,5,0,0,4,8,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4x10mm,42,24,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,2,0,4,0,0,0,0
M4x12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M4x16,28,6,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
M4x20,6,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4x30,11,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
M4x45,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2x3/8 wood,14,0,0,10,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3x6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3x10,9,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2x10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2x20,2,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4 Sliding,44,22,2,0,0,0,8,4,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M4 Lock,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
M4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2,5,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,6 (or just 2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,47,36,4,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wires (full) in mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor power,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right Y max,700,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
left Y max,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top max,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottom max,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottom min,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motor contol,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power cable,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,